System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 1000.00 1400.00 100.000000 1.0000000000000000 1.000000 -1148339.299844 284.910952 37.155461 147.215519 -216.401457 2566.019674 -7.113 -7.113 2.691394 0.000000 1.563 n/a n/a
2 1000.00 1397.00 100.000000 1.0000000000000000 1.000000 -1148780.946232 284.646754 37.147763 147.215406 -216.387875 2565.968770 -7.140 -7.140 2.691952 0.000000 1.573 n/a n/a
3 1000.00 1394.00 100.000000 1.0000000000000000 1.000000 -1149222.592279 284.382081 37.140065 147.215292 -216.374307 2565.917275 -7.168 -7.168 2.692510 0.000000 1.584 n/a n/a
4 1000.00 1391.00 100.000000 1.0000000000000000 1.000000 -1149664.237985 284.116932 37.132367 147.215178 -216.360756 2565.865188 -7.195 -7.195 2.693068 0.000000 1.594 n/a n/a
5 1000.00 1388.00 100.000000 1.0000000000000000 1.000000 -1150105.883350 283.851305 37.124670 147.215065 -216.347220 2565.812510 -7.223 -7.223 2.693627 0.000000 1.605 n/a n/a
6 1000.00 1385.00 100.000000 1.0000000000000000 1.000000 -1150547.528374 283.585197 37.116972 147.214951 -216.333700 2565.759241 -7.251 -7.251 2.694185 0.000000 1.615 n/a n/a
7 1000.00 1382.00 100.000000 1.0000000000000000 1.000000 -1150989.173058 283.318608 37.109275 147.214838 -216.320195 2565.705380 -7.279 -7.279 2.694744 0.000000 1.626 n/a n/a
8 1000.00 1379.00 100.000000 1.0000000000000000 1.000000 -1151430.817401 283.051536 37.101578 147.214724 -216.306706 2565.650927 -7.307 -7.307 2.695303 0.000000 1.637 n/a n/a
9 1000.00 1376.00 100.000000 1.0000000000000000 1.000000 -1151872.461404 282.783978 37.093881 147.214611 -216.293233 2565.595883 -7.335 -7.335 2.695862 0.000000 1.647 n/a n/a
10 1000.00 1373.00 100.000000 1.0000000000000000 1.000000 -1152314.105067 282.515933 37.086185 147.214497 -216.279775 2565.540247 -7.363 -7.363 2.696422 0.000000 1.658 n/a n/a
11 1000.00 1370.00 100.000000 1.0000000000000000 1.000000 -1152755.748389 282.247400 37.078488 147.214384 -216.266333 2565.484020 -7.391 -7.391 2.696982 0.000000 1.669 n/a n/a
